Start,Finish,Respiratory Rate (count/min)
29-Sep-2021 00:00,30-Sep-2021 00:00,22.5
30-Sep-2021 00:00,30-Sep-2021 00:00,19.5
01-Oct-2021 00:00,30-Sep-2021 00:00,25.5
03-Oct-2021 00:00,04-Oct-2021 00:00,23.0
04-Oct-2021 00:00,04-Oct-2021 00:00,19.9
05-Oct-2021 00:00,04-Oct-2021 00:00,29.4
06-Oct-2021 00:00,04-Oct-2021 00:00,22.7
07-Oct-2021 00:00,09-Oct-2021 00:00,20.1
08-Oct-2021 00:00,04-Oct-2021 00:00,16.8
09-Oct-2021 00:00,10-Oct-2021 00:00,20.0
12-Oct-2021 00:00,13-Oct-2021 00:00,26.0
13-Oct-2021 00:00,14-Oct-2021 00:00,32.0
14-Oct-2021 00:00,15-Oct-2021 00:00,21.0
15-Oct-2021 00:00,16-Oct-2021 00:00,21.0
16-Oct-2021 00:00,17-Oct-2021 00:00,28.5
17-Oct-2021 00:00,18-Oct-2021 00:00,25.5
18-Oct-2021 00:00,19-Oct-2021 00:00,19.5
20-Oct-2021 00:00,21-Oct-2021 00:00,21.5
21-Oct-2021 00:00,22-Oct-2021 00:00,25.0
22-Oct-2021 00:00,23-Oct-2021 00:00,20.5
23-Oct-2021 00:00,24-Oct-2021 00:00,19.5
24-Oct-2021 00:00,25-Oct-2021 00:00,20.0
25-Oct-2021 00:00,25-Oct-2021 00:00,25.0
26-Oct-2021 00:00,27-Oct-2021 00:00,25.0
27-Oct-2021 00:00,28-Oct-2021 00:00,17.5
29-Oct-2021 00:00,30-Oct-2021 00:00,27.5
30-Oct-2021 00:00,31-Oct-2021 00:00,20.5
31-Oct-2021 00:00,31-Oct-2021 00:00,24.5
01-Nov-2021 00:00,31-Oct-2021 00:00,27.5
02-Nov-2021 00:00,03-Nov-2021 00:00,34.0
03-Nov-2021 00:00,03-Nov-2021 00:00,28.0
05-Nov-2021 00:00,06-Nov-2021 00:00,19.5
06-Nov-2021 00:00,07-Nov-2021 00:00,20.0
07-Nov-2021 00:00,08-Nov-2021 00:00,22.5
08-Nov-2021 00:00,09-Nov-2021 00:00,19.0
09-Nov-2021 00:00,09-Nov-2021 00:00,28.1
10-Nov-2021 00:00,09-Nov-2021 00:00,21.4
11-Nov-2021 00:00,09-Nov-2021 00:00,24.5
12-Nov-2021 00:00,13-Nov-2021 00:00,28.0
14-Nov-2021 00:00,15-Nov-2021 00:00,24.5
18-Nov-2021 00:00,19-Nov-2021 00:00,19.0
19-Nov-2021 00:00,20-Nov-2021 00:00,20.5
22-Nov-2021 00:00,23-Nov-2021 00:00,22.5
24-Nov-2021 00:00,25-Nov-2021 00:00,20.0
25-Nov-2021 00:00,26-Nov-2021 00:00,17.0
26-Nov-2021 00:00,27-Nov-2021 00:00,26.0
27-Nov-2021 00:00,28-Nov-2021 00:00,19.5
01-Dec-2021 00:00,02-Dec-2021 00:00,20.5
02-Dec-2021 00:00,03-Dec-2021 00:00,18.5
05-Dec-2021 00:00,06-Dec-2021 00:00,20.5
08-Dec-2021 00:00,09-Dec-2021 00:00,18.8
10-Dec-2021 00:00,11-Dec-2021 00:00,18.0
11-Dec-2021 00:00,12-Dec-2021 00:00,21.5
12-Dec-2021 00:00,13-Dec-2021 00:00,21.5
16-Dec-2021 00:00,17-Dec-2021 00:00,18.5
27-Dec-2021 00:00,28-Dec-2021 00:00,19.5
13-Jan-2022 00:00,14-Jan-2022 00:00,17.5
19-Jan-2022 00:00,20-Jan-2022 00:00,17.5
20-Jan-2022 00:00,21-Jan-2022 00:00,19.0
21-Jan-2022 00:00,22-Jan-2022 00:00,20.5
23-Jan-2022 00:00,24-Jan-2022 00:00,18.5
30-Jan-2022 00:00,31-Jan-2022 00:00,19.0
01-Feb-2022 00:00,02-Feb-2022 00:00,18.5
04-Feb-2022 00:00,05-Feb-2022 00:00,19.0
05-Feb-2022 00:00,06-Feb-2022 00:00,21.0
06-Feb-2022 00:00,07-Feb-2022 00:00,18.5
07-Feb-2022 00:00,08-Feb-2022 00:00,22.5
08-Feb-2022 00:00,09-Feb-2022 00:00,20.5
09-Feb-2022 00:00,10-Feb-2022 00:00,19.0
10-Feb-2022 00:00,11-Feb-2022 00:00,21.5
11-Feb-2022 00:00,12-Feb-2022 00:00,20.5
15-Feb-2022 00:00,16-Feb-2022 00:00,18.0
17-Feb-2022 00:00,18-Feb-2022 00:00,20.5
19-Feb-2022 00:00,20-Feb-2022 00:00,21.5
20-Feb-2022 00:00,21-Feb-2022 00:00,18.0
